lead_id,channel,message_text,message_hour,message_length,high_intent_flag,prev_contacts,response_gap_hrs,replied
L0101,Website Chat,hello available how much,14,152,1,2,31.0,1
L0102,Email,hi,17,126,0,1,53.59,0
L0103,Email,okay,9,126,0,1,36.99,1
L0104,Email,demo interested buy,12,155,1,3,14.09,0
L0105,WhatsApp,hello thanks,15,182,0,5,172.56,0
L0106,WhatsApp,demo demo how much,17,155,1,1,4.61,1
L0107,Email,demo quote please,12,169,1,1,11.03,1
L0108,Email,thanks okay thanks,20,227,0,3,1.5,1
L0109,WhatsApp,demo just checking quote,14,59,1,1,1.57,1
L0110,Email,quote,11,217,1,1,18.53,0
L0111,Email,quote demo,20,130,1,1,50.86,1
L0112,WhatsApp,quote buy,20,267,1,2,12.84,1
L0113,Phone Inquiry,buy,12,167,1,4,63.08,0
L0114,Email,hello hi,9,290,0,1,62.78,1
L0115,Phone Inquiry,buy,13,88,1,3,7.81,1
L0116,Email,interested,19,139,1,3,2.96,1
L0117,WhatsApp,looking to buy,14,269,0,3,1.77,1
L0118,Email,hi okay,14,255,0,3,4.94,1
L0119,WhatsApp,hello thanks okay,12,200,0,1,43.19,0
L0120,Website Chat,buy,20,114,1,0,9.96,1
L0121,WhatsApp,demo,9,299,1,1,5.89,1
L0122,WhatsApp,want to see demo,14,161,0,0,7.64,1
L0123,Phone Inquiry,hi just checking just checking,10,17,0,1,150.32,0
L0124,WhatsApp,price price,9,128,1,0,3.06,1
L0125,Email,okay hi,12,280,0,0,0.86,1
L0126,WhatsApp,price quote,11,41,1,2,14.54,1
L0127,Website Chat,how much for demo,14,159,1,2,3.76,1
L0128,Website Chat,interested,20,28,1,0,103.96,0
L0129,Email,price available,15,270,1,2,11.98,1
L0130,Email,hi hi,20,63,0,1,10.23,1
L0131,Website Chat,just checking thanks thanks,13,33,0,0,42.17,0
L0132,Website Chat,"interested, tell me more",20,263,0,2,21.19,0
L0133,WhatsApp,quote how much,15,28,1,1,9.32,1
L0134,Phone Inquiry,demo demo,19,207,1,4,1.77,1
L0135,Email,interested,13,44,1,3,5.9,1
L0136,Website Chat,how much,13,45,1,0,29.82,1
L0137,WhatsApp,hi hello just checking,15,79,0,0,0.68,1
L0138,Website Chat,just checking hi hi,9,151,0,2,13.41,1
L0139,Phone Inquiry,interested in pricing,19,126,1,1,4.64,1
L0140,Email,quote quote,13,121,1,0,70.34,0
L0141,Website Chat,buy interested interested,19,41,1,1,8.09,1
L0142,Website Chat,hello hi,18,257,0,3,48.87,0
L0143,WhatsApp,demo demo,10,94,1,1,37.26,1
L0144,Email,hello thanks,20,138,0,0,11.81,0
L0145,WhatsApp,thanks,13,25,0,2,70.91,1
L0146,WhatsApp,demo,12,142,1,2,1.83,1
L0147,Website Chat,demo,19,199,1,3,16.04,1
L0148,Website Chat,price demo quote,19,75,1,1,4.94,1
L0149,WhatsApp,demo available,12,48,1,1,18.01,1
L0150,WhatsApp,interested interested,13,93,1,0,3.54,1
L0151,Phone Inquiry,hello,10,260,0,2,5.43,1
L0152,Email,price interested available,11,205,1,0,4.97,1
L0153,Phone Inquiry,demo interested,14,59,1,2,3.81,1
L0154,WhatsApp,demo available,8,156,1,3,6.2,1
L0155,WhatsApp,hi okay,13,266,0,1,126.75,0
L0156,Email,interested quote,16,186,1,1,73.83,0
L0157,WhatsApp,hello interested buy,17,46,1,2,4.65,1
L0158,Phone Inquiry,quote,20,249,1,1,18.11,1
L0159,Website Chat,thanks hello,8,136,0,1,39.83,1
L0160,Website Chat,okay okay,9,275,0,1,67.91,0
L0161,Email,want to see demo,12,267,0,0,3.69,1
L0162,Email,okay,16,155,0,1,6.58,1
L0163,WhatsApp,okay hi okay,10,127,0,2,25.75,0
L0164,Email,available interested price,19,73,1,1,41.64,0
L0165,Email,okay okay just checking,20,269,0,0,12.5,0
L0166,WhatsApp,quote,12,44,1,4,1.64,1
L0167,Email,available,12,51,1,2,7.06,1
L0168,Email,demo interested quote,20,261,1,1,18.81,1
L0169,Website Chat,just checking hi okay,12,182,0,1,4.37,1
L0170,Phone Inquiry,how much how much,10,111,1,2,35.56,1
L0171,Website Chat,how much demo how much,18,57,1,1,24.42,0
L0172,WhatsApp,how much buy available,12,180,1,3,2.96,1
L0173,Website Chat,okay,10,74,0,1,7.12,1
L0174,WhatsApp,looking to buy,14,84,1,1,6.89,1
L0175,Email,hi demo available,9,193,1,1,39.88,1
L0176,WhatsApp,just checking just checking,12,30,0,0,11.14,1
L0177,Website Chat,buy demo,13,62,1,3,8.72,1
L0178,WhatsApp,hello,9,250,0,1,28.32,0
L0179,WhatsApp,how much interested,10,186,1,3,168.9,0
L0180,Website Chat,interested,14,33,1,3,41.35,0
L0181,Phone Inquiry,okay thanks,19,22,0,3,29.65,1
L0182,Email,interested demo,9,158,1,2,69.55,0
L0183,Website Chat,hi,13,55,0,1,19.7,1
L0184,WhatsApp,need a quote please,19,237,1,0,2.78,1
L0185,Website Chat,price buy,13,233,1,2,3.17,1
L0186,Email,hello hello just checking,14,223,0,0,50.58,1
L0187,WhatsApp,how much,19,105,1,3,2.17,1
L0188,Email,price price how much,11,225,1,2,44.85,1
L0189,WhatsApp,just checking hi just checking,8,55,0,0,26.33,0
L0190,Email,quote demo,20,117,1,4,71.72,1
L0191,Phone Inquiry,interested hi how much,16,269,1,2,70.22,1
L0192,Website Chat,price interested demo,11,102,1,1,19.9,0
L0193,Website Chat,hello just checking okay,15,150,0,0,69.56,1
L0194,Email,available,14,122,1,1,10.42,1
L0195,Email,demo,8,275,1,2,4.36,1
L0196,Email,just checking thanks hi,12,49,0,4,16.46,0
L0197,Email,okay just checking,19,204,0,0,3.36,1
L0198,Email,just checking just checking just checking,8,178,0,0,182.79,0
L0199,Phone Inquiry,looking to buy,14,12,1,1,2.28,1
L0200,Email,hello okay,12,56,0,4,30.94,1
L0201,WhatsApp,price price,16,120,1,2,16.02,1
L0202,Phone Inquiry,hello price,14,82,1,1,14.82,1
L0203,Email,thanks thanks,14,52,0,1,12.14,1
L0204,Email,okay,8,22,0,3,2.46,1
L0205,WhatsApp,okay hi okay,13,188,0,0,2.45,1
L0206,Email,available,8,42,1,1,2.24,1
L0207,Phone Inquiry,okay just checking thanks,20,38,0,3,8.58,1
L0208,WhatsApp,interested interested buy,11,217,1,3,21.69,1
L0209,Email,just checking hi,10,143,0,1,6.26,1
L0210,Email,need a quote please,20,275,1,1,3.85,1
L0211,WhatsApp,buy,14,246,1,2,5.33,1
L0212,Website Chat,thanks just checking okay,12,82,0,2,10.26,1
L0213,WhatsApp,available,11,299,1,0,2.19,1
L0214,WhatsApp,thanks okay just checking,14,183,0,1,147.84,0
L0215,WhatsApp,available,18,65,1,3,3.07,1
L0216,Website Chat,hi hello just checking,9,269,0,2,122.69,0
L0217,Phone Inquiry,checking availability,12,251,1,3,2.45,1
L0218,Email,want to see demo,12,162,0,1,1.7,1
L0219,WhatsApp,how much available price,20,96,1,4,30.38,0
L0220,Email,buy,14,117,1,1,47.63,0
L0221,WhatsApp,available how much how much,11,136,1,1,8.87,1
L0222,Email,hello just checking,10,150,0,3,8.94,1
L0223,WhatsApp,just checking hello hello,8,71,0,1,2.93,1
L0224,WhatsApp,just checking,16,95,0,2,2.94,1
L0225,Website Chat,available demo,10,229,1,3,20.31,1
L0226,WhatsApp,demo demo interested,15,116,1,4,5.71,1
L0227,Email,hi,16,218,0,0,253.79,0
L0228,WhatsApp,just checking hi thanks,17,254,0,1,2.25,1
L0229,WhatsApp,demo buy,15,216,1,2,41.28,1
L0230,Email,just checking,10,165,0,1,10.51,1
L0231,Phone Inquiry,demo,15,174,1,1,9.73,1
L0232,Email,quote how much quote,13,267,1,8,12.6,0
L0233,Phone Inquiry,available how much demo,18,95,1,0,10.75,1
L0234,Website Chat,quote,18,34,1,0,7.47,1
L0235,Website Chat,okay,18,60,0,1,45.22,1
L0236,Website Chat,okay just checking thanks,18,142,0,0,2.31,1
L0237,Website Chat,hi hello,14,102,0,1,10.2,0
L0238,Phone Inquiry,buy,19,239,1,1,0.96,1
L0239,WhatsApp,available available interested,17,54,1,3,11.24,1
L0240,Email,quote how much demo,12,73,1,2,2.41,1
L0241,WhatsApp,demo,15,135,1,0,100.01,0
L0242,WhatsApp,quote just checking,17,95,1,2,2.02,1
L0243,Website Chat,interested demo,12,154,1,2,3.72,1
L0244,Phone Inquiry,just checking hello hello,8,49,0,1,2.26,1
L0245,Website Chat,how much demo interested,14,238,1,2,68.35,1
L0246,WhatsApp,thanks okay just checking,13,255,0,2,18.1,1
L0247,WhatsApp,thanks,8,136,0,0,38.64,0
L0248,WhatsApp,demo,20,282,1,1,11.8,1
L0249,Website Chat,just checking hi,8,278,0,2,14.86,1
L0250,Website Chat,price available,12,146,1,1,36.72,0
L0251,WhatsApp,interested interested,19,282,1,0,8.14,1
L0252,WhatsApp,price price,13,148,1,1,27.93,1
L0253,WhatsApp,hi hello,13,173,0,1,15.96,1
L0254,WhatsApp,buy,10,106,1,1,2.26,1
L0255,Email,how much for demo,9,82,1,5,80.23,0
L0256,Email,thanks hello hello,9,75,0,0,8.31,1
L0257,WhatsApp,price quote,17,79,1,3,3.62,1
L0258,Website Chat,okay just checking just checking,9,246,0,0,8.09,1
L0259,Email,hi just checking okay,10,229,0,3,4.95,1
L0260,Email,hi,15,191,0,2,6.51,1
L0261,Website Chat,just checking just checking okay,20,278,0,1,54.93,1
L0262,WhatsApp,buy buy demo,12,23,1,1,3.43,1
L0263,Email,demo quote,10,59,1,0,3.67,1
L0264,WhatsApp,buy,18,246,1,1,7.27,1
L0265,Website Chat,just checking hello,14,295,0,3,6.94,1
L0266,Email,hi hi,11,105,0,2,18.72,1
L0267,Email,available interested,11,159,1,1,3.14,1
L0268,WhatsApp,hello thanks hi,10,246,0,2,8.38,1
L0269,WhatsApp,interested interested quote,10,182,1,1,5.25,1
L0270,Website Chat,hi thanks thanks,13,255,0,1,38.23,1
L0271,WhatsApp,quote price demo,19,99,1,0,22.51,1
L0272,Website Chat,okay,20,237,0,2,59.92,0
L0273,Email,buy quote,16,39,1,2,66.37,1
L0274,WhatsApp,price demo price,10,59,1,1,4.31,1
L0275,WhatsApp,interested price quote,14,104,1,2,5.02,1
L0276,WhatsApp,how much quote demo,12,104,1,2,7.81,1
L0277,WhatsApp,hi okay hello,9,191,0,3,57.23,1
L0278,WhatsApp,just checking just checking hello,20,251,0,0,5.01,1
L0279,WhatsApp,interested in pricing,16,133,1,3,9.78,1
L0280,WhatsApp,interested in pricing,12,225,1,2,75.37,0
L0281,Phone Inquiry,available interested,16,132,1,0,1.14,1
L0282,WhatsApp,quote how much,19,24,1,0,4.98,1
L0283,Website Chat,demo,18,199,1,4,27.96,0
L0284,Email,demo,19,105,1,0,19.09,1
L0285,WhatsApp,interested,8,197,1,0,8.2,1
L0286,Website Chat,need a quote please,13,95,0,1,18.45,1
L0287,WhatsApp,demo quote please,20,249,1,0,67.76,1
L0288,Website Chat,thanks hello,13,229,0,4,9.51,1
L0289,Phone Inquiry,need a quote please,12,127,1,2,30.47,1
L0290,Email,okay price buy price,20,44,1,3,40.4,1
L0291,Email,"interested, tell me more",13,226,0,3,1.33,1
L0292,WhatsApp,buy demo,9,187,1,2,2.41,1
L0293,Phone Inquiry,how much interested interested,9,26,1,1,15.26,1
L0294,WhatsApp,how much,17,96,1,1,3.36,1
L0295,Phone Inquiry,how much for demo,16,164,0,2,178.97,0
L0296,WhatsApp,quote buy,9,104,1,3,1.43,1
L0297,Website Chat,available how much demo,16,188,1,2,69.63,0
L0298,Email,buy demo quote,14,15,1,4,25.27,1
L0299,Email,just checking just checking,20,24,0,4,9.56,0
L0300,Phone Inquiry,demo,19,180,1,2,1.05,1
L0301,WhatsApp,price demo demo,19,258,1,0,2.63,1
L0302,WhatsApp,how much quote,13,85,1,0,1.44,1
L0303,WhatsApp,okay,13,223,0,0,28.24,1
L0304,Website Chat,buy how much interested,20,135,1,2,1.25,1
L0305,Phone Inquiry,need a quote please,12,74,1,1,5.15,1
L0306,Email,okay okay,14,179,0,1,9.66,1
L0307,WhatsApp,demo quote available,15,37,1,1,150.03,0
L0308,Email,interested,15,250,1,1,2.67,1
L0309,WhatsApp,okay hello okay,9,138,0,1,22.36,0
L0310,Email,"interested, tell me more",13,296,0,0,0.98,1
L0311,Website Chat,hi,11,218,0,0,360.0,0
L0312,Email,how much,20,76,1,0,16.2,0
L0313,WhatsApp,demo,20,82,1,2,101.5,0
L0314,Website Chat,price quote buy,14,131,1,1,7.16,1
L0315,Website Chat,want to see demo,10,24,1,3,5.93,1
L0316,WhatsApp,how much,19,16,1,2,3.14,1
L0317,Email,buy demo,15,175,1,0,4.25,1
L0318,Website Chat,thanks okay,20,255,0,3,114.34,0
L0319,Email,interested,8,236,1,5,3.0,1
L0320,WhatsApp,buy demo how much,9,199,1,2,4.13,1
L0321,Phone Inquiry,available how much,19,201,1,1,14.82,1
L0322,Email,hi hello,12,282,0,1,28.02,1
L0323,Website Chat,just checking,12,210,0,1,94.37,0
L0324,WhatsApp,hello,8,225,0,1,113.06,0
L0325,WhatsApp,how much buy,14,65,1,1,7.24,1
L0326,Email,"interested, tell me more",17,257,0,1,71.22,0
L0327,WhatsApp,price interested,9,193,1,3,1.23,1
L0328,WhatsApp,hello hi hi,13,40,0,3,56.77,1
L0329,WhatsApp,just checking,9,207,0,0,27.12,1
L0330,WhatsApp,hello hello okay,19,32,0,5,9.25,1
L0331,Email,just checking,19,67,0,0,43.46,0
L0332,WhatsApp,hello just checking,16,163,0,3,5.41,1
L0333,Phone Inquiry,how much buy,16,235,1,2,11.58,1
L0334,Email,hi hi hi,18,136,0,0,6.66,1
L0335,Email,just checking hello just checking,8,129,0,1,3.73,1
L0336,Email,just checking hi,15,283,0,1,150.65,0
L0337,Email,how much demo quote,18,35,1,1,15.83,1
L0338,Phone Inquiry,interested interested price,8,209,1,6,37.24,0
L0339,WhatsApp,buy buy available,11,35,1,0,34.67,1
L0340,Email,quote,19,107,1,2,23.43,0
L0341,Website Chat,thanks okay,11,171,0,3,14.75,0
L0342,WhatsApp,demo interested,15,144,1,1,43.19,1
L0343,WhatsApp,hi just checking,12,44,0,1,10.11,1
L0344,Website Chat,price demo how much,8,115,1,3,37.48,0
L0345,WhatsApp,demo quote demo,19,221,1,1,58.5,1
L0346,WhatsApp,hello,14,255,0,3,24.75,0
L0347,WhatsApp,hello,15,48,0,1,39.52,0
L0348,Email,interested,11,66,1,0,10.7,1
L0349,Website Chat,interested buy quote,9,119,1,1,11.43,1
L0350,Email,hi okay hello,17,149,0,1,71.79,1
L0351,WhatsApp,okay buy how much,20,267,1,0,3.99,1
L0352,WhatsApp,interested in pricing,11,152,1,0,8.76,1
L0353,WhatsApp,quote quote,12,246,1,0,10.7,1
L0354,Email,checking availability,12,265,1,1,3.23,1
L0355,WhatsApp,okay hi,9,190,0,2,5.37,1
L0356,WhatsApp,thanks,19,107,0,3,6.46,1
L0357,WhatsApp,demo demo,16,243,1,2,16.35,1
L0358,WhatsApp,want to see demo,11,241,1,1,3.52,1
L0359,Phone Inquiry,how much,19,204,1,1,0.84,1
L0360,WhatsApp,"interested, tell me more",14,165,1,1,19.84,1
L0361,WhatsApp,demo,11,126,1,2,5.53,1
L0362,Phone Inquiry,price available,10,240,1,2,147.58,0
L0363,Phone Inquiry,quote,18,106,1,3,11.14,1
L0364,Phone Inquiry,quote,11,207,1,5,5.95,1
L0365,WhatsApp,how much available interested,19,96,1,4,6.22,1
L0366,Website Chat,hello thanks just checking,12,206,0,0,4.1,1
L0367,WhatsApp,okay,17,108,0,0,57.98,0
L0368,Website Chat,just checking,20,138,0,1,52.27,0
L0369,Website Chat,just checking,18,91,0,3,150.53,0
L0370,Phone Inquiry,demo how much,10,213,1,0,4.67,1
L0371,WhatsApp,demo buy quote,15,155,1,3,4.83,1
L0372,Phone Inquiry,available buy,10,12,1,0,6.04,1
L0373,Email,want to see demo,15,26,0,1,1.67,1
L0374,Website Chat,demo,10,150,1,2,122.81,0
L0375,WhatsApp,okay okay thanks,18,225,0,2,7.05,0
L0376,Email,interested available,20,193,1,2,309.81,0
L0377,Phone Inquiry,demo,11,154,1,1,7.61,1
L0378,WhatsApp,buy how much,15,283,1,1,12.38,1
L0379,Email,how much for demo,9,172,1,2,8.52,1
L0380,WhatsApp,how much quote,20,235,1,2,27.21,1
L0381,Email,available,15,30,1,1,36.31,0
L0382,Website Chat,hello,10,52,0,1,3.32,1
L0383,Email,just checking hello,20,186,0,5,58.05,0
L0384,WhatsApp,how much,12,164,1,1,31.13,1
L0385,WhatsApp,demo,12,40,1,2,4.87,1
L0386,Phone Inquiry,how much for demo,16,168,0,2,7.83,1
L0387,Email,hi thanks,19,292,0,1,0.88,1
L0388,Email,hi hi,17,213,0,3,71.83,0
L0389,Phone Inquiry,available demo quote,16,33,1,0,25.92,1
L0390,WhatsApp,interested demo,16,84,1,1,4.99,1
L0391,WhatsApp,just checking thanks,9,297,0,1,86.29,0
L0392,WhatsApp,interested,16,116,1,3,1.92,1
L0393,WhatsApp,demo,14,82,1,1,34.77,0
L0394,WhatsApp,price interested interested,17,153,1,1,5.45,1
L0395,Phone Inquiry,hello hello,17,38,0,2,27.0,0
L0396,WhatsApp,okay hi hi,19,111,0,0,13.03,1
L0397,Phone Inquiry,just checking,19,146,0,0,2.0,1
L0398,WhatsApp,interested available,20,188,1,0,7.3,1
L0399,Email,how much price buy,12,80,1,0,2.49,1
L0400,Website Chat,thanks hello,13,20,0,2,11.22,1
L0401,Email,okay,16,270,0,1,2.84,1
L0402,Email,price,9,106,1,1,16.22,1
L0403,WhatsApp,interested,20,126,1,3,61.24,1
L0404,Website Chat,just checking,18,195,0,3,8.87,1
L0405,WhatsApp,interested price how much,20,278,1,2,21.6,1
L0406,WhatsApp,demo quote,19,101,1,2,39.03,1
L0407,Email,buy price interested,20,201,1,1,40.03,1
L0408,Email,how much for demo,16,96,1,0,133.34,0
L0409,Email,interested buy demo,19,240,1,1,6.78,1
L0410,Email,hello hi hello,12,36,0,3,2.1,1
L0411,Email,hello,9,234,0,2,9.27,1
L0412,WhatsApp,just checking hello hi,13,221,0,1,23.36,1
L0413,WhatsApp,quote demo,19,24,1,1,229.69,0
L0414,WhatsApp,"interested, tell me more",14,25,1,1,0.82,1
L0415,Email,hello hi,10,82,0,1,4.19,1
L0416,WhatsApp,okay hi just checking,11,262,0,1,4.89,1
L0417,WhatsApp,buy just checking price demo,8,112,1,1,39.38,0
L0418,Website Chat,okay just checking,17,115,0,1,74.79,0
L0419,WhatsApp,price demo,11,191,1,1,2.47,1
L0420,Email,quote quote how much,14,116,1,0,113.67,0
L0421,Website Chat,interested,18,59,1,0,5.33,1
L0422,WhatsApp,price quote buy,14,220,1,3,1.7,1
L0423,Email,interested,9,15,1,2,4.88,1
L0424,WhatsApp,available okay interested,19,238,1,0,64.36,0
L0425,Website Chat,demo buy,17,109,1,2,14.5,1
L0426,Website Chat,just checking hi thanks,19,121,0,2,26.59,1
L0427,Email,hi hi,14,67,0,1,144.99,0
L0428,WhatsApp,demo quote interested,17,249,1,0,63.5,1
L0429,Phone Inquiry,available buy price,18,234,1,5,6.85,1
L0430,WhatsApp,want to see demo,15,66,1,0,56.77,1
L0431,Email,want to see demo,10,287,1,2,1.61,1
L0432,Website Chat,just checking hello,8,298,0,4,1.76,1
L0433,WhatsApp,thanks hi hello,17,186,0,0,12.52,1
L0434,WhatsApp,just checking thanks okay,11,205,0,3,44.73,1
L0435,Website Chat,just checking,17,161,0,3,2.03,1
L0436,Email,quote buy interested,16,150,1,1,9.12,1
L0437,Website Chat,thanks,12,100,0,1,12.58,1
L0438,Email,just checking just checking hello,20,109,0,0,55.58,0
L0439,WhatsApp,hi hi thanks,17,125,0,0,30.6,0
L0440,Website Chat,demo,18,142,1,4,13.47,1
L0441,Phone Inquiry,how much for demo,13,43,1,0,360.0,0
L0442,Website Chat,price interested,18,54,1,1,5.94,1
L0443,Email,hello,18,241,0,3,24.07,1
L0444,Email,buy,18,138,1,1,9.92,1
L0445,Phone Inquiry,looking to buy,15,237,1,1,6.21,1
L0446,WhatsApp,how much,18,24,1,3,57.41,1
L0447,WhatsApp,okay just checking,15,35,0,0,55.95,0
L0448,WhatsApp,how much price hello,8,27,1,2,14.75,1
L0449,WhatsApp,buy,8,95,1,2,82.38,0
L0450,Website Chat,looking to buy,14,158,1,2,2.93,1
L0451,Phone Inquiry,price interested,13,227,1,1,0.68,1
L0452,WhatsApp,just checking,19,66,0,1,4.3,1
L0453,Website Chat,price hello quote,19,31,1,2,360.0,0
L0454,Website Chat,interested in pricing,11,48,1,2,8.26,1
L0455,Email,how much interested,20,207,1,2,4.22,1
L0456,WhatsApp,checking availability,9,74,1,2,12.61,1
L0457,Website Chat,thanks just checking,9,212,0,0,18.43,0
L0458,Email,quote price quote hi,8,147,1,1,11.61,1
L0459,Email,thanks,15,100,0,1,11.32,1
L0460,WhatsApp,"interested, tell me more",13,210,1,0,7.78,1
L0461,Website Chat,hi,14,223,0,1,2.49,1
L0462,Phone Inquiry,hi,9,210,0,4,40.86,0
L0463,WhatsApp,demo price interested,13,171,1,2,139.34,0
L0464,Phone Inquiry,demo,11,217,1,0,3.31,1
L0465,Phone Inquiry,price,17,197,1,6,1.19,1
L0466,WhatsApp,demo quote please,18,132,1,5,47.89,0
L0467,Website Chat,buy price,9,224,1,4,121.78,0
L0468,WhatsApp,okay okay just checking,17,285,0,3,4.02,1
L0469,Email,price interested quote,13,162,1,2,1.1,1
L0470,WhatsApp,just checking,16,191,0,1,8.01,1
L0471,WhatsApp,available buy how much,8,47,1,0,0.36,1
L0472,Website Chat,hi hi,8,290,0,1,227.74,0
L0473,WhatsApp,available,8,174,1,0,12.21,1
L0474,WhatsApp,just checking just checking hello,19,13,0,3,173.31,0
